device_id,latitude,longitude,timestamp,horizontal_accuracy_m,speed_kmh
DEV_02616,37.770818,-122.400302,2026-08-01 06:00:01,9.2,25.8
DEV_01437,37.779219,-122.408666,2026-08-01 06:00:08,4.2,33.5
DEV_01268,37.77865,-122.410279,2026-08-01 06:00:14,10.8,15.9
DEV_00716,37.77264,-122.407336,2026-08-01 06:00:16,6.8,4.6
DEV_03014,37.780548,-122.419994,2026-08-01 06:00:25,6.6,13.2
DEV_04039,37.754782,-122.426943,2026-08-01 06:00:31,13.1,8.2
DEV_01969,37.785088,-122.407468,2026-08-01 06:00:33,8.9,28.4
DEV_01666,37.793413,-122.414087,2026-08-01 06:00:56,4.8,2.1
DEV_04337,37.776774,-122.409815,2026-08-01 06:00:57,4.9,30.0
DEV_03578,37.800919,-122.417139,2026-08-01 06:01:03,9.4,3.7
DEV_04199,37.778778,-122.420397,2026-08-01 06:01:11,10.9,32.1
DEV_01534,37.748292,-122.443159,2026-08-01 06:01:20,8.0,1.7
DEV_01106,37.779201,-122.420887,2026-08-01 06:01:28,3.5,29.4
DEV_00273,37.778318,-122.417697,2026-08-01 06:01:35,3.3,20.7
DEV_02028,37.747966,-122.44205,2026-08-01 06:01:44,12.1,11.1
DEV_01528,37.776873,-122.416416,2026-08-01 06:01:46,13.1,25.5
DEV_03484,37.780155,-122.409948,2026-08-01 06:01:51,4.7,30.5
DEV_01742,37.783626,-122.413526,2026-08-01 06:02:01,5.8,14.8
DEV_03573,37.779843,-122.420138,2026-08-01 06:02:01,12.4,17.5
DEV_03941,37.781975,-122.417441,2026-08-01 06:02:13,12.2,11.8
DEV_02645,37.751079,-122.394242,2026-08-01 06:02:16,9.4,24.7
DEV_00448,37.761175,-122.420743,2026-08-01 06:02:19,3.7,15.6
DEV_04589,37.776056,-122.417209,2026-08-01 06:02:24,13.2,5.5
DEV_03771,37.749375,-122.404787,2026-08-01 06:02:52,12.9,31.0
DEV_04510,37.776878,-122.416785,2026-08-01 06:03:24,3.7,23.4
DEV_02126,37.783222,-122.408694,2026-08-01 06:03:28,10.1,28.9
DEV_03474,37.781839,-122.418658,2026-08-01 06:03:50,8.0,5.4
DEV_01274,37.777478,-122.415267,2026-08-01 06:03:54,6.8,17.3
DEV_04969,37.749068,-122.428749,2026-08-01 06:04:08,3.1,11.4
DEV_02533,37.777071,-122.418503,2026-08-01 06:04:13,5.4,23.9
DEV_04890,37.751279,-122.428689,2026-08-01 06:04:24,9.1,0.8
DEV_01666,37.777506,-122.420578,2026-08-01 06:04:25,13.3,26.2
DEV_02926,37.76311,-122.409933,2026-08-01 06:04:25,3.6,18.4
DEV_04154,37.758278,-122.411515,2026-08-01 06:04:30,6.6,11.9
DEV_02737,37.777359,-122.415641,2026-08-01 06:04:34,9.0,34.1
DEV_04693,37.780854,-122.417546,2026-08-01 06:04:37,12.9,1.9
DEV_03488,37.767104,-122.415319,2026-08-01 06:04:43,4.6,31.9
DEV_01368,37.781437,-122.41168,2026-08-01 06:04:49,5.8,10.8
DEV_03426,37.779598,-122.411796,2026-08-01 06:04:50,4.2,19.0
DEV_02969,37.777785,-122.414831,2026-08-01 06:04:52,10.1,12.6
DEV_01924,37.749117,-122.420544,2026-08-01 06:05:01,9.7,18.1
DEV_00636,37.784118,-122.426948,2026-08-01 06:05:01,7.8,1.5
DEV_03462,37.779743,-122.417478,2026-08-01 06:05:05,11.5,14.4
DEV_03775,37.78208,-122.411406,2026-08-01 06:05:10,11.0,2.5
DEV_01388,37.770138,-122.40201,2026-08-01 06:05:15,10.7,13.8
DEV_03440,37.780501,-122.431356,2026-08-01 06:05:16,14.5,28.3
DEV_01554,37.774678,-122.436747,2026-08-01 06:05:32,7.4,5.9
DEV_04838,37.782081,-122.41025,2026-08-01 06:05:36,9.8,2.6
DEV_01926,37.798306,-122.435576,2026-08-01 06:05:38,12.9,23.8
DEV_01758,37.770916,-122.415149,2026-08-01 06:05:45,12.6,1.8
DEV_04649,37.779145,-122.438796,2026-08-01 06:05:48,7.9,15.8
DEV_03120,37.781255,-122.419398,2026-08-01 06:06:13,3.6,32.6
DEV_01022,37.803788,-122.389726,2026-08-01 06:06:14,5.8,15.1
DEV_03986,37.764082,-122.437205,2026-08-01 06:06:24,14.1,31.5
DEV_04044,37.778793,-122.424084,2026-08-01 06:06:33,10.7,25.5
DEV_01835,37.785421,-122.397249,2026-08-01 06:06:33,8.7,1.8
DEV_00687,37.78091,-122.415736,2026-08-01 06:06:38,8.0,13.2
DEV_03186,37.783351,-122.412044,2026-08-01 06:06:39,5.8,6.8
DEV_01835,37.783321,-122.408083,2026-08-01 06:06:43,6.8,0.5
DEV_01355,37.749301,-122.390836,2026-08-01 06:06:45,14.6,26.9
DEV_03507,37.763985,-122.407219,2026-08-01 06:06:46,6.5,18.8
DEV_04501,37.779352,-122.413519,2026-08-01 06:07:09,8.0,0.4
DEV_01597,37.780437,-122.419981,2026-08-01 06:07:13,11.4,26.7
DEV_01083,37.781631,-122.413373,2026-08-01 06:07:15,12.1,19.6
DEV_04760,37.746753,-122.391247,2026-08-01 06:07:31,12.6,18.3
DEV_04156,37.774868,-122.431497,2026-08-01 06:07:37,9.9,20.7
DEV_00138,37.779129,-122.412054,2026-08-01 06:07:37,3.8,33.6
DEV_04921,37.760333,-122.441983,2026-08-01 06:07:37,8.9,4.7
DEV_04589,37.779038,-122.417843,2026-08-01 06:07:40,4.8,9.7
DEV_01104,37.776714,-122.419172,2026-08-01 06:07:44,11.8,23.5
DEV_00063,37.779794,-122.431595,2026-08-01 06:07:45,14.4,2.5
DEV_01249,37.782202,-122.446841,2026-08-01 06:07:57,5.9,0.2
DEV_00206,37.795833,-122.405481,2026-08-01 06:08:06,7.3,22.8
DEV_02526,37.779075,-122.408402,2026-08-01 06:08:08,3.6,16.9
DEV_03869,37.783853,-122.412049,2026-08-01 06:08:18,11.3,22.2
DEV_04766,37.777108,-122.41817,2026-08-01 06:08:28,12.1,18.1
DEV_00317,37.779784,-122.413379,2026-08-01 06:08:31,14.0,11.9
DEV_04399,37.781843,-122.418489,2026-08-01 06:08:42,9.5,0.6
DEV_02515,37.782957,-122.411529,2026-08-01 06:09:13,5.8,7.1
DEV_00589,37.776788,-122.416718,2026-08-01 06:09:21,4.2,8.1
DEV_04955,37.776773,-122.416854,2026-08-01 06:09:31,4.1,9.2
DEV_02399,37.778606,-122.419739,2026-08-01 06:09:43,9.1,12.2
DEV_04945,37.780407,-122.417404,2026-08-01 06:09:54,8.8,5.6
DEV_02868,37.780635,-122.417837,2026-08-01 06:09:54,7.2,17.7
DEV_02165,37.757887,-122.442135,2026-08-01 06:09:57,12.1,11.1
DEV_02747,37.779373,-122.409258,2026-08-01 06:09:58,7.4,24.1
DEV_03031,37.779391,-122.409144,2026-08-01 06:10:06,13.6,33.3
DEV_03931,37.790944,-122.404327,2026-08-01 06:10:07,6.9,12.4
DEV_04507,37.778724,-122.417506,2026-08-01 06:10:08,4.6,28.1
DEV_01153,37.780206,-122.419534,2026-08-01 06:10:12,4.6,21.0
DEV_01911,37.781163,-122.418585,2026-08-01 06:10:18,13.3,31.1
DEV_00904,37.7521,-122.412588,2026-08-01 06:10:24,11.2,5.8
DEV_04116,37.781631,-122.408526,2026-08-01 06:10:26,5.3,35.0
DEV_03798,37.783976,-122.412352,2026-08-01 06:10:27,5.8,2.9
DEV_04737,37.779743,-122.415767,2026-08-01 06:10:40,7.1,15.5
DEV_03880,37.783016,-122.409832,2026-08-01 06:10:41,12.4,7.2
DEV_02838,37.774231,-122.436592,2026-08-01 06:10:42,11.6,13.7
