primary_store,target_store,shared_visitors,overlap_percentage
STORE_001,STORE_002,4783,97.18
STORE_001,STORE_003,360,7.31
STORE_001,STORE_004,356,7.23
STORE_001,STORE_005,398,8.09
STORE_002,STORE_001,4783,98.48
STORE_002,STORE_003,358,7.37
STORE_002,STORE_004,345,7.1
STORE_002,STORE_005,394,8.11
STORE_003,STORE_001,360,97.56
STORE_003,STORE_002,358,97.02
STORE_003,STORE_004,16,4.34
STORE_003,STORE_005,28,7.59
STORE_004,STORE_001,356,99.16
STORE_004,STORE_002,345,96.1
STORE_004,STORE_003,16,4.46
STORE_004,STORE_005,36,10.03
STORE_005,STORE_001,398,97.55
STORE_005,STORE_002,394,96.57
STORE_005,STORE_003,28,6.86
STORE_005,STORE_004,36,8.82
