device_id,timestamp,hour,latitude,longitude,store_id,store_name,distance_meters
DEV_01437,2026-08-01 06:00:08,6,37.779219,-122.408666,STORE_002,Coffee Craft - Market Street (Store B - Candidate),326.2
DEV_01268,2026-08-01 06:00:14,6,37.77865,-122.410279,STORE_002,Coffee Craft - Market Street (Store B - Candidate),323.18
DEV_03014,2026-08-01 06:00:25,6,37.780548,-122.419994,STORE_001,Coffee Craft - 5th Street (Store A),245.64
DEV_04199,2026-08-01 06:01:11,6,37.778778,-122.420397,STORE_001,Coffee Craft - 5th Street (Store A),212.1
DEV_01106,2026-08-01 06:01:28,6,37.779201,-122.420887,STORE_001,Coffee Craft - 5th Street (Store A),254.71
DEV_00273,2026-08-01 06:01:35,6,37.778318,-122.417697,STORE_001,Coffee Craft - 5th Street (Store A),80.37
DEV_01528,2026-08-01 06:01:46,6,37.776873,-122.416416,STORE_001,Coffee Craft - 5th Street (Store A),274.44
DEV_03484,2026-08-01 06:01:51,6,37.780155,-122.409948,STORE_002,Coffee Craft - Market Street (Store B - Candidate),175.83
DEV_01742,2026-08-01 06:02:01,6,37.783626,-122.413526,STORE_002,Coffee Craft - Market Street (Store B - Candidate),324.29
DEV_03573,2026-08-01 06:02:01,6,37.779843,-122.420138,STORE_001,Coffee Craft - 5th Street (Store A),209.98
DEV_03941,2026-08-01 06:02:13,6,37.781975,-122.417441,STORE_001,Coffee Craft - 5th Street (Store A),334.43
DEV_00448,2026-08-01 06:02:19,6,37.761175,-122.420743,STORE_004,Coffee Craft - Mission Hub,201.37
DEV_04589,2026-08-01 06:02:24,6,37.776056,-122.417209,STORE_001,Coffee Craft - 5th Street (Store A),334.66
DEV_04510,2026-08-01 06:03:24,6,37.776878,-122.416785,STORE_001,Coffee Craft - 5th Street (Store A),258.99
DEV_02126,2026-08-01 06:03:28,6,37.783222,-122.408694,STORE_002,Coffee Craft - Market Street (Store B - Candidate),278.81
DEV_03474,2026-08-01 06:03:50,6,37.781839,-122.418658,STORE_001,Coffee Craft - 5th Street (Store A),320.94
DEV_01274,2026-08-01 06:03:54,6,37.777478,-122.415267,STORE_001,Coffee Craft - 5th Street (Store A),293.83
